fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 203628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	238001	0.188893069405225	0.610916111115366	3480	1217	10125	25190000	1
20221001 203649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	238001	0.202328941168962	0.335654068551958	4670	2063	9682	2.6e+07	2
20221001 203709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	238001	0.140437676573638	0.516187297897413	5462	1814	9122	26320000	3
20221001 203735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	238001	0.288962129613908	0.833634533360601	2140	546	8851	24780000	4
20221001 203804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	238001	0.070943358170276	0.685892368461937	2721	1866	8507	26430000	5
20221001 203831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	238001	0.157411968340923	0.291581142880023	7999	729	10607	25270000	6
20221001 203849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	238001	0.129661932627961	0.753606491331011	3728	1411	9912	25380000	7
20221001 203859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	238001	0.281504651587748	0.996043994482607	6049	1569	9443	25680000	8
20221001 204004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	98	TRUE	238001	0.0792672643119586	0.571127681266516	513	1284	9330	27020000	9
20221001 204054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	238001	0.0466110384832136	0.418738563489169	4276	790	10278	26170000	10
20221001 204135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	238001	0.105213114747428	0.386024628812447	1823	2782	10431	26420000	11
20221001 204157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	238001	0.230985096526274	0.676410682257265	3197	2372	8914	25700000	12
20221001 204245	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	269	TRUE	238001	0.0252267548394739	0.785369065171108	6832	403	8644	26240000	13
20221001 204310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	238001	0.255140497854271	0.247862972514704	5915	1034	8141	25560000	14
20221001 204336	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	238001	0.121229464684322	0.929819587804377	1430	2721	10871	26100000	15
20221001 204432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	238001	0.0496647275033174	0.871571848578751	840	226	8270	27140000	16
20221001 204459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	238001	0.261842120627058	0.456328829163685	6682	2169	10820	25480000	17
20221001 204605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	238001	0.172372524408391	0.21690464457497	56	2466	8307	24910000	18
20221001 204855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	928	TRUE	238001	0.0121869895633426	0.534261244405061	7388	3018	9649	26390000	19
20221001 204909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	238001	0.221761845461675	0.910601773029193	5168	48	10097	25410000	20
20221001 205019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	275	TRUE	238001	0.0527525200432097	0.709875768342036	872	669	9002	26880000	21
20221001 205054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	251	TRUE	238001	0.0389558917525373	0.746326121402389	41	23	8042	26640000	22
20221001 205125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	238001	0.072212838001723	0.937069427865498	983	304	8292	26460000	23
20221001 205200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	238001	0.0501500110961544	0.46799990877332	109	61	8003	26160000	24
20221001 205246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	238001	0.0549814958716582	0.546434302714502	494	1765	9225	26750000	25
20221001 205346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	238001	0.0474318243508781	0.87799414451666	37	339	8558	26090000	26
20221001 205423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	238001	0.0396957680924465	0.840570087662392	1663	263	8210	26940000	27
20221001 205533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	238001	0.075231450828966	0.641868867606996	1285	912	9237	27530000	28
20221001 205609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	225	TRUE	238001	0.0711347181775735	0.646875422771392	4873	866	9250	26380000	29
20221001 205746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	238001	0.0840006749549513	0.63775271240006	56	998	9197	26490000	30
20221001 205819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	238001	0.0589178790077687	0.647543363811341	1251	868	9233	26900000	31
20221001 205840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	238001	0.111071398548468	0.600141741482541	6511	20	9374	26220000	32
20221001 205915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	238001	0.132790620397382	0.534796467659995	5930	1265	9691	26460000	33
20221001 210034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	494	TRUE	238001	0.0385015624493116	0.870431413085759	3282	1455	10847	25990000	34
20221001 210045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	238001	0.247688198058448	0.97085140260905	7533	102	9077	26250000	35
20221001 210058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	238001	0.294932982268407	0.827480945128389	2443	396	8587	24750000	36
20221001 210130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	238001	0.0757282446025065	0.65416961830504	679	882	9933	26700000	37
20221001 210154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	238001	0.0799408741219644	0.713120821923949	2451	1452	10295	25330000	38
20221001 210230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	238001	0.0751740761253147	0.65380933606959	1570	895	8924	26960000	39
20221001 210300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	238001	0.0733849747213908	0.615224194064026	1384	930	9361	26720000	40
20221001 210321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	238001	0.0749909048544511	0.956367239678279	3829	1873	8241	26320000	41
20221001 210349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	238001	0.0706767263774609	0.224661557385698	5182	1590	9999	26330000	42
20221001 210439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	238001	0.0317116237761138	0.930109449937567	7494	2412	8396	26010000	43
20221001 210915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	677	TRUE	238001	0.0123862994109397	0.50881237937808	850	2539	8676	28010000	44
20221001 210926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	238001	0.278272677236235	0.632499920022488	6003	1905	9926	25190000	45
20221001 210948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	238001	0.17685334134197	0.467216590912454	5444	2083	9057	26290000	46
20221001 211200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	238001	0.0545010914862889	0.639588982575201	76	639	10566	26470000	47
20221001 211226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	238001	0.0778915715035249	0.725810646671802	6821	673	10196	25930000	48
20221001 211255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	238001	0.232929167007491	0.383611714291014	870	1202	9261	25960000	49
20221001 211325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	238001	0.07933828800663	0.277884050524794	4148	1355	8056	26530000	50
20221001 211450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	499	TRUE	238001	0.0171272184302041	0.225153392024525	7470	485	8607	26390000	51
20221001 211520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	238001	0.183488434449757	0.536991706803069	473	2513	8309	25550000	52
20221001 211533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	238001	0.249661702638457	0.824278188950941	6163	2802	9411	26460000	53
20221001 211604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	238001	0.0741793751074269	0.605837298370525	5432	562	8699	26690000	54
20221001 211622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	238001	0.20516447826433	0.405311631944589	1776	1288	9634	24260000	55
20221001 211639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	238001	0.140580720797756	0.826116655269824	5540	711	10369	25990000	56
20221001 211652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	238001	0.28338669115738	0.472291564275883	4932	2226	8920	24720000	57
20221001 211712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	238001	0.242382562019397	0.497443485028856	1423	375	8471	25860000	58
20221001 211727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	238001	0.234281663078135	0.916613249851391	2705	573	9641	25920000	59
20221001 211743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	238001	0.287375450209943	0.626928428908996	2484	2773	10053	24940000	60
20221001 211804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	238001	0.289816842842135	0.832584391497821	1606	1139	9305	25070000	61
20221001 211842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	238001	0.0358365042172233	0.77863567119576	3253	2159	9047	25990000	62
20221001 211915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	238001	0.287719666985048	0.432344655119441	364	2737	9444	22960000	63
20221001 212004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	221	TRUE	238001	0.0227709558655845	0.90607622872442	6671	1056	10488	25830000	64
20221001 212024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	238001	0.221837273008261	0.874911762158573	7307	2595	9219	26210000	65
20221001 212041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	238001	0.248673079450285	0.561709361652285	5665	2263	10550	25780000	66
20221001 212056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	238001	0.139112473556119	0.829013103394024	3449	2656	10553	24580000	67
20221001 212119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	238001	0.103385783209882	0.793691932321712	1440	2968	8363	26240000	68
20221001 212140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	238001	0.107472011699226	0.66354458688926	1139	330	8042	25920000	69
20221001 212156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	238001	0.235031266546098	0.659982398896664	3296	3011	8935	25490000	70
20221001 212500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1011	TRUE	238001	0.0121869894200376	0.665512194567616	2240	2116	8942	27160000	71
20221001 212657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	296	TRUE	238001	0.0141052233344834	0.657027176946332	889	2238	8461	27320000	72
20221001 212743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	238001	0.0487003558249154	0.993413952692412	3730	1609	10652	25900000	73
20221001 212812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	238001	0.0643952393437165	0.845311343042925	4031	2446	8541	26120000	74
20221001 213100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	518	TRUE	238001	0.0110012996261175	0.413675154742923	901	2754	8866	27310000	75
20221001 213118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	238001	0.268121270442213	0.964113226179034	2912	2384	8109	25150000	76
20221001 213137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	238001	0.185329778672645	0.537828319959529	4431	2240	10646	25510000	77
20221001 213208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	238001	0.140236916945709	0.25981272917185	3962	2119	9056	25570000	78
20221001 213227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	238001	0.128840634770542	0.924518630357273	2596	789	10665	25390000	79
20221001 213246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	238001	0.150268792707018	0.547890585466288	3076	2754	8555	25690000	80
20221001 213309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	238001	0.269795574648845	0.650446363315545	1230	419	9229	24270000	81
20221001 213328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	238001	0.156793446159599	0.645033351882175	1745	2505	8765	26550000	82
20221001 213405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	223	TRUE	238001	0.0633616894750926	0.762686251034774	6113	1998	10995	26010000	83
20221001 213421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	238001	0.201274847784591	0.370711776774563	2672	1817	10448	25430000	84
20221001 213439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	238001	0.238129541367266	0.416814094152674	3035	838	10090	25340000	85
20221001 213456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	238001	0.174338121031668	0.290428429191746	3715	113	10896	25090000	86
20221001 213530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	238001	0.124610837005283	0.666350885750353	877	2034	10948	25310000	87
20221001 213734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	867	TRUE	238001	0.020318248421069	0.979742138851248	4782	2696	10701	25720000	88
20221001 213824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	223	TRUE	238001	0.0587445406735001	0.513793396748416	4994	1781	8289	26070000	89
20221001 213958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	284	TRUE	238001	0.0368669139648986	0.593480094081163	609	2562	9552	27780000	90
20221001 214015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	238001	0.24741499372246	0.707616324900277	6254	1487	9648	25350000	91
20221001 214055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	238001	0.217895054538286	0.430765500238724	221	1246	10759	24090000	92
